     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   1312200,      6654,    316136,   0.272,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1800,        19,       429,   0.009,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1800,        26,       417,   0.009,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      5400,        86,      1293,   0.018,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    178200,      2591,     43068,   0.142,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      9000,       124,      2186,   0.026,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     19800,       352,      4682,   0.052,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     19800,       287,      4739,   0.052,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    268232,      3794,     64492,   0.217,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     37800,       611,      9143,   0.097,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     77400,      1195,     18689,   0.202,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    117000,      1844,     28332,   0.301,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         2,        26,   0.019,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     94500,      1471,     22692,   0.241,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     62882,       974,     15291,   0.158,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         2,        46,   0.020,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         3,        25,   0.018,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         3,        43,   0.019,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       600,         9,       130,   0.022,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
